id,name,address,lat,lng,genre,genre_code,budget_code,budget_name,budget_average,capacity,access,url,photo
J001170070,珈琲茶館 集 プレミアム渋谷駅前店,東京都渋谷区道玄坂２－29－3　道玄坂共同ビル1・2F,35.6594313325,139.6986314549,カフェ・スイーツ,G014,B001,1501～2000円,カフェ1300円（平均）　　ランチ1450円（平均）,50,渋谷駅ハチ公口　徒歩4分,https://www.hotpepper.jp/strJ001170070/?vos=nhppalsa000016,https://imgfp.hotp.jp/IMGH/17/83/P037231783/P037231783_238.jpg
J000805469,渋谷 bed,東京都渋谷区道玄坂２-23-13　渋谷デリタワー2F,35.6601147989,139.6960977533,イタリアン・フレンチ,G006,B006,10001～15000円,10000円～15000円(food込)　3000円～5000円(drinkのみ),14,京王井の頭線【神泉駅】徒歩６分、ＪＲ山手線・埼京線【渋谷駅】ハチ公口　徒歩８分,https://www.hotpepper.jp/strJ000805469/?vos=nhppalsa000016,https://imgfp.hotp.jp/IMGH/26/41/P025472641/P025472641_238.jpg
J000004489,マ メゾン 渋谷109店,東京都渋谷区道玄坂２‐２９‐１　渋谷１０９　７Ｆ,35.6595293865,139.6989844766,洋食,G005,B001,1501～2000円,1500円（通常平均）　1000円（ランチ平均）　,66,JR渋谷駅ハチ公口徒歩2分　,https://www.hotpepper.jp/strJ000004489/?vos=nhppalsa000016,https://imgfp.hotp.jp/IMGH/57/55/P021895755/P021895755_238.jpg
J001041066,佐五右衛門 渋谷,東京都渋谷区道玄坂２-29-8 道玄坂センタービル 4F,35.6592566115,139.6979437425,居酒屋,G001,B008,4001～5000円,4000～5000円,40,渋谷駅徒歩3分,https://www.hotpepper.jp/strJ001041066/?vos=nhppalsa000016,https://imgfp.hotp.jp/IMGH/49/93/P045674993/P045674993_238.jpg
J000748188,極楽酒場 げんてん 渋谷,東京都渋谷区道玄坂１丁目13-6斎藤ビル１階,35.6573151811,139.6986170968,創作料理,G003,B002,2001～3000円,2800円,45,JR渋谷駅徒歩４分、京王井の頭線・渋谷駅西口徒歩２分　★渋谷マークシティーすぐ!!,https://www.hotpepper.jp/strJ000748188/?vos=nhppalsa000016,https://imgfp.hotp.jp/IMGH/94/72/P015919472/P015919472_238.jpg
J001207827,SPOT,東京都渋谷区道玄坂１‐6－10　早川ビルB1 ,35.6579828919,139.6989167668,バー・カクテル,G012,B008,4001～5000円,,20,井の頭線渋谷駅西口より徒歩10秒JR線・東急線・東京メトロ渋谷駅より徒歩2分,https://www.hotpepper.jp/strJ001207827/?vos=nhppalsa000016,https://imgfp.hotp.jp/IMGH/98/14/P031079814/P031079814_238.jpg
J000691238,焼き鳥のぐりどっちん 渋谷道玄坂店,東京都渋谷区道玄坂２-２５-１０　B１,35.6602731425,139.6971448804,居酒屋,G001,B002,2001～3000円,3000円,35,渋谷ハチ公口から徒歩5分（ドンキホーテの手前並び）,https://www.hotpepper.jp/strJ000691238/?vos=nhppalsa000016,https://imgfp.hotp.jp/IMGH/88/64/P022138864/P022138864_238.jpg
J000140849,四季の串揚げ 串徳 渋谷,東京都渋谷区道玄坂２-19-3 ライオンズマンション 1F,35.6591199178,139.6963611044,居酒屋,G001,B004,5001～7000円,【コース通常】5000円（飲み物は別途） ,16,各線渋谷駅より道玄坂を上り交番の手前を右折→百軒店の坂を上り左折→右手にございます。神泉駅 徒歩6分,https://www.hotpepper.jp/strJ000140849/?vos=nhppalsa000016,https://imgfp.hotp.jp/IMGH/02/02/P026480202/P026480202_238.jpg
J001013056,道玄坂 漁,東京都渋谷区道玄坂１‐６‐５ 九鬼ビル１Ｆ,35.6577598695,139.6992203611,居酒屋,G001,B008,4001～5000円,ランチ：1000円　ディナー：4500円,30,渋谷駅より徒歩2分,https://www.hotpepper.jp/strJ001013056/?vos=nhppalsa000016,https://imgfp.hotp.jp/IMGH/64/21/P045676421/P045676421_238.jpg
J001177911,幸せのパンケーキ 渋谷店,東京都渋谷区道玄坂１-１８-８ 道玄坂プラザ仁科屋ビル ３F,35.6573467861,139.696447835,カフェ・スイーツ,G014,B001,1501～2000円,1000円～2000円,52,マークシティ出口すぐ／京王井の頭線 渋谷駅徒歩3分／JR渋谷駅徒歩8分／神泉駅から257m,https://www.hotpepper.jp/strJ001177911/?vos=nhppalsa000016,https://imgfp.hotp.jp/IMGH/50/17/P027625017/P027625017_238.jpg
